
---------- Begin Simulation Statistics ----------
system.cpu_cluster.cpus.statAvgFUUtilization::SimdShift     0.000173      0.05%     44.37% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdShiftAcc     0.000173      0.05%     44.41% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdDiv            0      0.00%     44.41% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdSqrt     0.000173      0.05%     44.46% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatAdd     0.000346      0.09%     44.56% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatAlu            0      0.00%     44.56% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatCmp     0.000346      0.09%     44.65% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatCvt            0      0.00%     44.65% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatDiv     0.000173      0.05%     44.70% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatMisc     0.000346      0.09%     44.79% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatMult            0      0.00%     44.79% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatMultAcc     0.000346      0.09%     44.89% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatSqrt     0.000173      0.05%     44.93% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdReduceAdd     0.000346      0.09%     45.03% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdReduceAlu     0.000346      0.09%     45.12% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdReduceCmp     0.000173      0.05%     45.17% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatReduceAdd     0.000346      0.09%     45.27% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdFloatReduceCmp     0.000346      0.09%     45.36% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdAes     0.000346      0.09%     45.46% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdAesMix     0.000346      0.09%     45.55% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdSha1Hash     0.000086      0.02%     45.58% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdSha1Hash2     0.000086      0.02%     45.60% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdSha256Hash     0.000086      0.02%     45.62% # Avg utilization of FU (Count)
